url;price;address;area_m2;author_name;author_company
https://krisha.kz/a/show/1012583708;150000;Жандосова, Алматы, Бостандыкский р-н;30.0;Хозяин недвижимости;
https://krisha.kz/a/show/29610571;2800;Декарта — Мустафина, Алматы, Бостандыкский р-н, мкр Орбита-1;700.0;Хозяин недвижимости;
https://krisha.kz/a/show/671444715;60000;улица Розыбакиева — Толе би Розыбакиева, Алматы, Алмалинский р-н;60.0;Хозяин недвижимости;
https://krisha.kz/a/show/673838447;2800;Декарта — Мустафина, Алматы, Бостандыкский р-н, мкр Орбита-1;700.0;Хозяин недвижимости;
https://krisha.kz/a/show/673840064;3000;Декарта — Мустафина, Алматы, Бостандыкский р-н, мкр Орбита-1;20.0;Хозяин недвижимости;
https://krisha.kz/a/show/677450737;55000;Толе би — Ауэзова, Алматы, Алмалинский р-н;75.0;Хозяин недвижимости;
https://krisha.kz/a/show/678441044;55000;Мкр-Мейрам — Жандосова-Яссауи, Алматы, Наурызбайский р-н;470.0;Хозяин недвижимости;
https://krisha.kz/a/show/679389705;8000;Жуалы — Жуалы, Алматы;28.0;Хозяин недвижимости;
https://krisha.kz/a/show/680739239;60000;1мкр — 1мкр66дом, Алматы, Ауэзовский р-н, мкр №4;70.0;Хозяин недвижимости;
https://krisha.kz/a/show/684261245;100000;Рахат — Аскарова, Алматы, Наурызбайский р-н, мкр Рахат;36.0;Хозяин недвижимости;
https://krisha.kz/a/show/689765329;45000;Анши кум — Бекишева - Анши кум, Алматы, Наурызбайский р-н, мкр Акжар;6.0;Хозяин недвижимости;
https://krisha.kz/a/show/691091995;55000;Толе би — Чимбулатова, Алматы, Алмалинский р-н;70.0;Хозяин недвижимости;
https://krisha.kz/a/show/694669572;60000;Шевченок — Центральный стадион, Алматы, Алмалинский р-н;125.0;Агман Аян;Специалист
https://krisha.kz/a/show/699470131;150000;№1 — Жубанова Сайна/ Жубанова Правда, Алматы, Ауэзовский р-н, мкр №1;61.0;Хозяин недвижимости;
https://krisha.kz/a/show/760060784;75000;Раймбека, Алматы, Жетысуский р-н;76.0;Хозяин недвижимости;
https://krisha.kz/a/show/761998580;120000;Папанина — Янки купала, Алматы, Турксибский р-н;40.0;Хозяин недвижимости;
https://krisha.kz/a/show/762050179;90000;Айгерим-2, Алматы, Алатауский р-н, мкр Айгерим-2;18.0;Хозяин недвижимости;
